Vulnerability Id,Vulnerable Class,Vulnerable Method
GHSA-683x-4444-jxh8,org/cyclonedx/parsers/XmlParser,
GHSA-2f88-5hg8-9x2x,org/apache/maven/internal/aether/DefaultRepositorySystemSessionFactory,newRepositorySession
GHSA-2f88-5hg8-9x2x,org/apache/maven/repository/DefaultMirrorSelector,isExternalRepo
GHSA-rhgr-952r-6p8q,org/apache/maven/shared/utils/cli/shell/BourneShell,
GHSA-rhgr-952r-6p8q,org/apache/maven/shared/utils/cli/shell/Shell,
GHSA-4jrv-ppp4-jm57,com/google/gson/internal/LazilyParsedNumber,writeReplace
GHSA-4jrv-ppp4-jm57,com/google/gson/internal/StringMap,writeReplace
GHSA-3x8x-79m2-3w2w,com/fasterxml/jackson/databind/node/NodeSerialization,readExternal
GHSA-jjjh-jjxp-wpff,com/fasterxml/jackson/databind/deser/std/StdDeserializer,_deserializeWrappedValue
GHSA-57j2-w4cx-62h2,com/fasterxml/jackson/databind/deser/std/UntypedObjectDeserializer,deserialize
GHSA-288c-cq4h-88gq,com/fasterxml/jackson/databind/ext/DOMDeserializer,
GHSA-rgv9-q543-rqg4,com/fasterxml/jackson/databind/deser/BeanDeserializer,_deserializeFromArray
GHSA-7286-pgfv-vxvh,org/apache/zookeeper/server/quorum/auth/SaslQuorumServerCallbackHandler,
GHSA-9vjp-v76f-g363,io/netty/handler/codec/compression/SnappyFrameDecoder,decode
GHSA-grg4-wf29-r9vv,io/netty/handler/codec/compression/Bzip2Decoder,decode
GHSA-xqfj-vm6h-2x34,org/apache/commons/compress/archivers/tar/TarUtils,
GHSA-xqfj-vm6h-2x34,org/apache/commons/compress/archivers/tar/TarFile,
GHSA-xqfj-vm6h-2x34,org/apache/commons/compress/archivers/tar/TarArchiveInputStream,
GHSA-7hfm-57qf-j43q,org/apache/commons/compress/archivers/sevenz/Folder,
GHSA-mc84-pj99-q6hh,org/apache/commons/compress/archivers/zip/ZipArchiveInputStream,
GHSA-crv7-7245-f45f,org/apache/commons/compress/archivers/sevenz/SevenZFile,
GHSA-53x6-4x5p-rrvv,org/apache/commons/compress/archivers/zip/NioZipEncoding,encode
GHSA-4g9r-vxhx-9pgx,org/apache/commons/compress/archivers/dump/DumpArchiveUtil,
GHSA-4g9r-vxhx-9pgx,org/apache/commons/compress/archivers/dump/TapeInputStream,
GHSA-8qv5-68g4-248j,src/library/scala/collection/immutable/LazyList,writeObject
GHSA-8qv5-68g4-248j,src/library/scala/collection/immutable/LazyList,readObject
